Movie_name,Rating,Votes,Duration,genre
Gladiator II,6.5, (256K),2h 28m,action
Dune: Part Two,8.5, (645K),2h 46m,action
Fight or Flight,6.4, (15K),1h 42m,action
Twisters,6.5, (177K),2h 2m,action
Kraven the Hunter,5.5, (64K),2h 7m,action
Deadpool & Wolverine,7.5, (510K),2h 8m,action
The Ministry of Ungentlemanly Warfare,6.8, (140K),2h 2m,action
Sonic the Hedgehog 3,6.9, (66K),1h 50m,action
Carry-On,6.5, (173K),1h 59m,action
Civil War,7.0, (245K),1h 49m,action
The Beekeeper,6.3, (163K),1h 45m,action
Venom: The Last Dance,6.0, (131K),1h 50m,action
Furiosa: A Mad Max Saga,7.5, (293K),2h 28m,action
Land of Bad,6.6, (53K),1h 53m,action
The Fall Guy,6.8, (228K),2h 6m,action
The Count of Monte-Cristo,7.6, (38K),2h 58m,action
Road House,6.2, (171K),2h 1m,action
Rebel Ridge,6.8, (91K),2h 11m,action
Role Play,5.5, (19K),1h 40m,action
Argylle,5.6, (94K),2h 19m,action
40 Acres,7.0, (566),1h 53m,action
Borderlands,4.7, (51K),1h 41m,action
Transformers One,7.6, (55K),1h 44m,action
Freaky Tales,6.2, (7.6K),1h 47m,action
The Unholy Trinity,6.0, (569),1h 35m,action
The Killer,5.7, (14K),2h 6m,action
Damsel,6.1, (112K),1h 50m,action
Madame Web,4.1, (104K),1h 56m,action
William Tell,5.7, (3.3K),2h 14m,action
The Union,5.4, (54K),1h 47m,action
Bad Boys: Ride or Die,6.5, (103K),1h 55m,action
Dirty Angels,4.4, (4.2K),1h 44m,action
Kingdom of the Planet of the Apes,6.8, (155K),2h 25m,action
The Crow,4.7, (37K),1h 51m,action
Maharaja,8.4, (71K),2h 21m,action
Godzilla x Kong: The New Empire,6.0, (125K),1h 55m,action
Homestead,5.2, (4.2K),1h 52m,action
Absolution,5.2, (9.1K),1h 52m,action
Monkey Man,6.8, (94K),2h 1m,action
Red One,6.3, (143K),2h 3m,action
The Instigators,6.2, (39K),1h 41m,action
The Lord of the Rings: The War of the Rohirrim,6.3, (33K),2h 14m,action
Old Guy,5.2, (3.2K),1h 34m,action
Kung Fu Panda 4,6.3, (71K),1h 34m,action
Drive-Away Dolls,5.4, (24K),1h 24m,action
Elevation,5.6, (24K),1h 31m,action
Survive,4.6, (3.2K),1h 30m,action
The Killer's Game,5.8, (18K),1h 44m,action
Arcadian,5.5, (25K),1h 32m,action
Lift,5.5, (50K),1h 47m,action
Take Cover,5.1, (2.9K),1h 30m,action
Thelma,7.0, (24K),1h 38m,action
Attack on Titan the Movie: The Last Attack,9.1, (18K),2h 25m,action
Beverly Hills Cop: Axel F,6.4, (83K),1h 58m,action
Relay,7.4, (139),1h 52m,action
Blitz,6.2, (17K),2h,action
Uglies,4.7, (34K),1h 40m,action
Apocalypse Z: The Beginning of the End,6.1, (21K),1h 57m,action
Atlas,5.6, (57K),1h 58m,action
Gunner,3.2, (2.9K),1h 46m,action
Pushpa: The Rule - Part 2,6.1, (59K),3h 21m,action
Azrael,5.4, (12K),1h 26m,action
The Prosecutor,6.6, (2.7K),1h 57m,action
Canary Black,5.4, (12K),1h 41m,action
Solo Leveling: ReAwakening,8.8, (14K),2h 1m,action
Under Paris,5.2, (37K),1h 44m,action
Brothers,5.4, (14K),1h 29m,action
Marco,6.7, (23K),2h 25m,action
The Fix,4.7, (1.6K),1h 38m,action
Jackpot!,5.8, (31K),1h 46m,action
Trigger Warning,4.6, (20K),1h 46m,action
Kalki 2898 AD,7.0, (69K),3h,action
Hellboy: The Crooked Man,4.5, (15K),1h 39m,action
The Silent Hour,6.1, (8.4K),1h 39m,action
Night Call,6.7, (2.5K),1h 37m,action
Rebel Moon - Part Two: The Scargiver,5.3, (60K),2h 2m,action
Ghost Killer,6.8, (89),1h 45m,action
The Shadow Strays,6.5, (9.7K),2h 24m,action
11 Rebels,6.3, (740),2h 35m,action
Karma,7.9, (1.5K),2h 47m,action
Boneyard,4.1, (5.2K),1h 36m,action
Uprising,6.6, (6K),2h 6m,action
Elyas,6.1, (1.6K),1h 45m,action
Fighter,6.2, (53K),2h 46m,action
Aavesham,7.8, (29K),2h 35m,action
Devara Part 1,6.0, (21K),2h 56m,action
Amaran,8.1, (20K),2h 47m,action
Weekend in Taipei,5.7, (5.5K),1h 40m,action
Twilight of the Warriors: Walled In,6.9, (10K),2h 6m,action
Descendants: The Rise of Red,4.7, (7.3K),1h 31m,action
Aftermath,5.1, (4.4K),1h 37m,action
Blood Star,6.3, (6.2K),1h 37m,action
Red Right Hand,5.5, (6.1K),1h 51m,action
Werewolves,4.4, (7.7K),1h 33m,action
Baby John,5.1, (18K),2h 39m,action
Ultraman: Rising,6.9, (6.7K),1h 57m,action
Dan Da Dan: First Encounter,8.2, (3K),1h 23m,action
Watchmen: Chapter I,7.1, (7.1K),1h 23m,action
Escape from the 21st Century,6.4, (1K),1h 38m,action
I Am What I Am 2,7.5, (389),2h 14m,action
My Spy: The Eternal City,5.7, (11K),1h 52m,action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (8.8K),1h 44m,action
Saripodhaa Sanivaaram,7.0, (10K),2h 46m,action
The Quiet Ones,6.1, (1.1K),1h 50m,action
Justice League: Crisis on Infinite Earths - Part One,6.2, (8.8K),1h 33m,action
Cash Out,4.8, (3.2K),1h 32m,action
Justice League: Crisis on Infinite Earths - Part Three,6.0, (4.8K),1h 34m,action
The Family Star,5.4, (5.6K),2h 39m,action
Stand Your Ground,4.6, (355),1h 39m,action
Damaged,4.7, (7.6K),1h 37m,action
Singham Again,4.7, (75K),2h 24m,action
Chief of Station,4.7, (4.8K),1h 37m,action
Utopia,3.7, (439),1h 31m,action
Paradox Effect,5.8, (9.6K),1h 27m,action
Badland Hunters,5.9, (13K),1h 47m,action
Code 8: Part II,5.7, (16K),1h 40m,action
Armor,3.6, (4.6K),1h 29m,action
Officer Black Belt,6.9, (8.8K),1h 48m,action
Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.6K),1h 34m,action
Chandu Champion,7.8, (35K),2h 22m,action
Revolver,5.4, (928),1h 54m,action
Cloud,6.3, (1.6K),2h 4m,action
Duchess,4.6, (1.6K),1h 54m,action
My Hero Academia: You're Next,6.9, (2.7K),1h 50m,action
Watchmen: Chapter II,7.1, (3.5K),1h 30m,action
Agni,7.2, (15K),2h 2m,action
Striking Rescue,5.6, (703),1h 51m,action
Drive Back,4.5, (656),1h 34m,action
Thangalaan,6.5, (6.8K),2h 36m,action
The Thundermans Return,5.0, (1.9K),1h 10m,action
Alien: Rubicon,2.4, (474),1h 26m,action
Cells at Work!,6.7, (929),1h 49m,action
A.R.M,7.1, (9K),2h 30m,action
Matka,4.7, (608),2h 36m,action
The Twisters,2.6, (430),1h 26m,action
Wynonna Earp: Vengeance,5.5, (1.7K),1h 36m,action
Long Gone Heroes,5.1, (1.3K),1h 41m,action
Dominique,5.3, (2.4K),1h 40m,action
Prey,3.7, (3.5K),1h 26m,action
Sasan,8.8, (90),2h 35m,action
Agent Recon,2.4, (758),1h 25m,action
Life After Fighting,6.4, (2.2K),2h 6m,action
No Way Up,4.6, (11K),1h 30m,action
Trouble,6.2, (7.2K),1h 38m,action
Vedaa,6.0, (4.5K),2h 25m,action
The Courier,6.0, (4.6K),1h 41m,action
Toofan,7.3, (8.8K),2h 25m,action
One Fast Move,5.0, (2.3K),1h 48m,action
Everybody Loves Jenifa,8.3, (98),2h 15m,action
Baby Assassins: Nice Days,7.2, (361),1h 43m,action
Bougainvillea,6.4, (3.4K),2h 18m,action
Classified,3.7, (2.8K),1h 45m,action
The Roundup: Punishment,6.6, (5.7K),1h 49m,action
Bagheera,6.7, (7.7K),2h 38m,action
River of Blood,5.0, (2K),1h 26m,action
Hitpig,5.1, (1.1K),1h 26m,action
Latency,4.2, (3K),1h 34m,action
The Last Front,5.5, (640),1h 38m,action
The Greatest of All Time,5.7, (23K),3h 3m,action
Guntur Kaaram,5.4, (25K),2h 39m,action
One More Shot,5.4, (3.8K),1h 43m,action
Hagen,6.1, (1.4K),2h 19m,action
Big City Greens the Movie: Spacecation,6.2, (588),1h 23m,action
Pani,6.9, (3.4K),2h 23m,action
Kill Em All 2,4.1, (1.4K),1h 28m,action
Raayan,6.5, (11K),2h 25m,action
Harbin,6.2, (991),1h 48m,action
Sikandar Ka Muqaddar,5.9, (25K),2h 22m,action
Kanguva,4.5, (15K),2h 32m,action
Invasion,4.8, (755),1h 31m,action
The Price of Money: A Largo Winch Adventure,5.1, (1.3K),1h 40m,action
Martin,2.2, (36K),2h 27m,action
Despatch,4.4, (4.5K),2h 33m,action
Escape,6.4, (2.2K),1h 34m,action
Levels,5.0, (1.6K),1h 33m,action
Pins & Needles,6.8, (24),1h 35m,action
The Clean Up Crew,4.2, (1.3K),1h 35m,action
Khadaan,7.0, (2.2K),2h 17m,action
Shark Warning,3.5, (377),1h 34m,action
Viduthalai Part 2,7.8, (17K),2h 50m,action
Por,5.1, (627),2h 34m,action
Rifle Club,7.0, (4.6K),1h 53m,action
Bureau 749,3.9, (584),2h 3m,action
Gandhi 3,5.7, (247),2h 23m,action
Shoutai,6.8, (712),2h,action
Devil's Knight,5.3, (966),1h 30m,action
Hounds of War,4.5, (2K),1h 35m,action
Overlord: The Sacred Kingdom,6.9, (1.5K),2h 15m,action
The Waves of Madness,5.8, (112),1h 8m,action
Handsome Guys,6.5, (978),1h 41m,action
Mafia Wars,3.6, (292),1h 38m,action
Baby Invasion,4.6, (590),1h 20m,action
Article 370,7.8, (25K),2h 38m,action
Bachhala Malli,8.2, (4K),2h 20m,action
In the Fire of War,7.1, (211),1h 55m,action
Je Jatt Vigarh Gya,5.6, (836),2h 12m,action
DNA,5.1, (218),2h 36m,action
Bidurbhai,9.2, (414),2h 28m,action
Anaconda,4.9, (674),1h 24m,action
Rats!,6.5, (216),1h 25m,action
Megamind vs. The Doom Syndicate,2.5, (5.7K),1h 23m,action
Darkness of Man,4.7, (3.3K),1h 49m,action
Lights Out,4.9, (1.9K),1h 30m,action
Spiders on a Plane,4.7, (402),1h 18m,action
Eye for an Eye 2,6.6, (555),1h 30m,action
Fighting the Fire,8.2, (1.7K),1h 55m,action
Dark Match,5.4, (1.2K),1h 34m,action
Air Force One Down,4.4, (3K),1h 24m,action
Uninvited,5.6, (343),1h 33m,action
Peter Five Eight,3.5, (1.1K),1h 40m,action
Sons of Rizk 3,6.6, (1.8K),2h 5m,action
Bade Miyan Chote Miyan,3.8, (39K),2h 43m,action
City Hunter,6.3, (5.8K),1h 42m,action
Yodha,5.7, (9K),2h 10m,action
Where Is Gilgamesh?,8.9, (640),1h 30m,action
The Tiger's Apprentice,5.8, (2.3K),1h 24m,action
Murder Company,3.6, (1.6K),1h 26m,action
The Wages of Fear,4.6, (4.2K),1h 44m,action
S.T.A.L.K.E.R.: Shadow of the Zone,4.8, (643),1h 11m,action
Golden Kamuy,6.3, (2.7K),2h 7m,action
Kuang Bao Ju Xi,5.6, (86),1h 15m,action
Kallu Compound 1995,7.9, (2K),2h 20m,action
How to Rob a Bank,6.6, (4.3K),1h 28m,action
Terminator: Skynet Rising,6.7, (283),1h 28m,action
Yudhra,4.9, (13K),2h 22m,action
Continental Split,3.5, (571),1h 28m,action
The Ballad of Davy Crockett,4.6, (265),1h 36m,action
The Last Kumite,4.6, (2.4K),1h 45m,action
Sunray: Fallen Soldier,4.3, (705),1h 55m,action
Hanu Man,7.7, (29K),2h 38m,action
A Legend,4.7, (1K),2h 9m,action
War of the Worlds: Extinction,3.0, (218),1h 24m,action
Mobile Suit Gundam SEED Freedom,6.6, (986),2h 4m,action
Snow White and the Seven Samurai,3.2, (315),1h 28m,action
Panda Plan,5.1, (1.6K),1h 39m,action
24 Hours to D-Day,3.5, (85),1h 23m,action
Troubleshooters,6.4, (436),1h 50m,action
Jigra,6.0, (24K),2h 33m,action
