Movie_name,Rating,Votes,Duration,genre
The Wild Robot,8.2, (184K),1h 42m,animation
Mufasa: The Lion King,6.6, (72K),1h 58m,animation
Flow,7.9, (86K),1h 25m,animation
Moana 2,6.5, (110K),1h 40m,animation
The Day the Earth Blew Up: A Looney Tunes Movie,6.9, (6.1K),1h 31m,animation
Transformers One,7.6, (55K),1h 44m,animation
Inside Out 2,7.5, (224K),1h 36m,animation
Paddington in Peru,6.7, (26K),1h 46m,animation
Despicable Me 4,6.2, (69K),1h 34m,animation
IF,6.4, (60K),1h 44m,animation
The Lord of the Rings: The War of the Rohirrim,6.3, (33K),2h 14m,animation
Kung Fu Panda 4,6.3, (71K),1h 34m,animation
Wallace & Gromit: Vengeance Most Fowl,7.5, (36K),1h 22m,animation
Memoir of a Snail,7.8, (19K),1h 35m,animation
Attack on Titan the Movie: The Last Attack,9.1, (18K),2h 25m,animation
Spermageddon,5.6, (1.1K),1h 20m,animation
Solo Leveling: ReAwakening,8.8, (14K),2h 1m,animation
The Garfield Movie,5.7, (25K),1h 41m,animation
The Remarkable Life of Ibelin,8.2, (13K),1h 43m,animation
Piece by Piece,6.9, (6.3K),1h 33m,animation
Spellbound,5.5, (8K),1h 49m,animation
Look Back,7.8, (16K),58m,animation
Harold and the Purple Crayon,5.7, (8.9K),1h 30m,animation
Ultraman: Rising,6.9, (6.7K),1h 57m,animation
Dan Da Dan: First Encounter,8.2, (3K),1h 23m,animation
Watchmen: Chapter I,7.1, (7.1K),1h 23m,animation
I Am What I Am 2,7.5, (389),2h 14m,animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (8.8K),1h 44m,animation
Justice League: Crisis on Infinite Earths - Part One,6.2, (8.8K),1h 33m,animation
Orion and the Dark,6.3, (18K),1h 33m,animation
Justice League: Crisis on Infinite Earths - Part Three,6.0, (4.8K),1h 34m,animation
Boys Go to Jupiter,6.8, (117),1h 30m,animation
Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.6K),1h 55m,animation
Crayon Shin-chan: Our Dinosaur Diary,6.6, (617),1h 46m,animation
Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.6K),1h 34m,animation
My Hero Academia: You're Next,6.9, (2.7K),1h 50m,animation
Watchmen: Chapter II,7.1, (3.5K),1h 30m,animation
The Most Precious of Cargoes,7.1, (1.5K),1h 21m,animation
White Snake: Afloat,6.9, (583),2h 13m,animation
Dragonkeeper,5.7, (1.8K),1h 38m,animation
Given 3: To the Sea,7.5, (147),1h 20m,animation
Mars,8.1, (26),1h 24m,animation
Thelma the Unicorn,5.7, (3.1K),1h 33m,animation
Hitpig,5.1, (1.1K),1h 26m,animation
Frida,7.5, (1.5K),1h 27m,animation
That Christmas,6.8, (17K),1h 31m,animation
The Colors Within,7.1, (1.2K),1h 41m,animation
Detective Conan: The Million-Dollar Pentagram,6.7, (1.6K),1h 51m,animation
Buffalo Kids,6.6, (778),1h 33m,animation
Big City Greens the Movie: Spacecation,6.2, (588),1h 23m,animation
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (4K),1h 22m,animation
Night of the Zoopocalypse,6.0, (952),1h 31m,animation
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.8, (1.3K),1h 30m,animation
Woody Woodpecker Goes to Camp,4.5, (2.7K),1h 40m,animation
Given the Movie: Hiiragi Mix,7.6, (237),1h 10m,animation
Overlord: The Sacred Kingdom,6.9, (1.5K),2h 15m,animation
The Night Before Christmas in Wonderland,6.3, (527),1h 20m,animation
Fox & Hare Save the Forest,5.9, (223),1h 11m,animation
Grand Theft Hamlet,6.9, (2.2K),1h 29m,animation
Megamind vs. The Doom Syndicate,2.5, (5.7K),1h 23m,animation
10 Lives,5.9, (2.1K),1h 28m,animation
From Ground Zero,7.9, (574),1h 52m,animation
The Tiger's Apprentice,5.8, (2.3K),1h 24m,animation
Lesbian Space Princess,7.1, (192),1h 27m,animation
Rebellious,6.1, (242),1h 34m,animation
Uma Musume: Pretty Derby - Beginning of a New Era,7.4, (159),1h 48m,animation
Haikyu!! The Dumpster Battle,7.7, (6.6K),1h 25m,animation
Mononoke the Movie: The Phantom in the Rain,6.7, (1.4K),1h 29m,animation
Savages,6.8, (397),1h 27m,animation
Angelo dans la forêt mystérieuse,6.0, (139),1h 21m,animation
The Glassworker,7.2, (1.9K),1h 38m,animation
Dalia and the Red Book,5.9, (155),1h 47m,animation
Mobile Suit Gundam SEED Freedom,6.6, (986),2h 4m,animation
Hola Frida,7.1, (50),1h 22m,animation
Kizumonogatari: Koyomi Vamp,7.0, (111),2h 24m,animation
Out of the Nest,6.4, (129),1h 24m,animation
Benjamin Bat,7.9, (34),1h 15m,animation
Super-Charlie,5.8, (175),1h 20m,animation
Blue Lock: Episode Nagi,6.6, (2.7K),1h 31m,animation
Johnny Puff: Secret Mission,4.9, (467),1h 27m,animation
Noah's Ark,4.3, (706),1h 36m,animation
200% Wolf,5.9, (1.3K),1h 38m,animation
Panda Bear in Africa,5.5, (383),1h 24m,animation
Ryan's World the Movie: Titan Universe Adventure,1.8, (735),1h 20m,animation
Baki Hanma VS Kengan Ashura,5.7, (2K),1h 2m,animation
A Sloth Story,5.6, (240),1h 30m,animation
No Time to Spy: A Loud House Movie,6.3, (504),1h 21m,animation
Diplodocus,6.4, (200),1h 33m,animation
Dongeng Sang Kancil,6.6, (225),1h 39m,animation
My Oni Girl,6.0, (1.9K),1h 52m,animation
Gracie and Pedro: Pets to the Rescue,5.0, (291),1h 27m,animation
Into the Mortal World,7.0, (246),1h 58m,animation
My Freaky Family,6.1, (424),1h 26m,animation
Exorcism Chronicles: The Beginning,6.4, (134),1h 25m,animation
Storm Crashers,6.2, (585),1h 28m,animation
Ghost Cat Anzu,6.5, (865),1h 37m,animation
The Quintessential Quintuplets Specials 2,6.9, (166),46m,animation
The Casagrandes Movie,5.6, (696),1h 29m,animation
The Lost Tiger,7.4, (58),1h 30m,animation
Little Emma,5.4, (135),1h 46m,animation
Inanimate Insanity II: The Movie,8.2, (249),1h 46m,animation
Peppa's Cinema Party,4.9, (157),1h 5m,animation
Maxxie LaWow: Drag Super-shero,7.8, (331),1h 54m,animation
Niko: Beyond the Northern Lights,6.1, (355),1h 26m,animation
Elli and the Ghostly Ghost Train,5.0, (110),1h 26m,animation
Living Large,6.9, (180),1h 20m,animation
"Ado SPECIAL LIVE ""Shinzou"" in Cinema",9.3, (48),2h 20m,animation
Fureru,6.1, (61),1h 47m,animation
Appu,8.1, (189),1h 32m,animation
The Proud Princess,6.4, (141),1h 24m,animation
Dragon Ball Z Kai,8.6, (92),1h 22m,animation
The Big Trip 3: Race Around the World,5.6, (68),1h 25m,animation
Sabbath Queen,7.9, (71),1h 45m,animation
"Die Heinzels: Neue Mützen, Neue Mission",6.0, (107),1h 16m,animation
Sanatorium Under the Sign of the Hourglass,5.4, (134),1h 15m,animation
My Redneck Neighbor: Chapter 2 - Let the Games Begin,5.7, (11),55m,animation
Shrek 5: The Contract - A Fan Made Film,7.4, (22),1h 24m,animation
Rafadan Tayfa: Kapadokya,6.6, (134),1h 24m,animation
Where the Robots Grow,2.7, (533),1h 28m,animation
Double Tuckerr,5.0, (1.3K),2h,animation
Mariposas Negras,7.1, (75),1h 23m,animation
Bloody Escape: Bats out of Hell,5.4, (60),1h 40m,animation
(S)KiDS,8.5, (146),1h 25m,animation
Boonie Bears: Time Twist,6.0, (177),1h 45m,animation
Terra Incognita 1901,5.4, (66),1h 18m,animation
Transformers Prime: Galavatron's Revenge,4.4, (17),1h 44m,animation
Norbert,6.8, (17),1h 15m,animation
Olivia & the Clouds,7.3, (60),1h 21m,animation
Zak & Wowo: The Legend of Lendarys,5.7, (103),1h 25m,animation
Schirkoa: In Lies We Trust,5.5, (169),1h 43m,animation
Heartsping : Teenieping of Love,7.2, (31),TV-Y,animation
STEVE (A Minecraft Movie),6.9, (13),1h 1m,animation
Rock Bottom,6.2, (58),1h 26m,animation
Tobias and the Arcane Merchant,8.9, (49),2h 47m,animation
Dead Dead Demon's Dededede Destruction,7.0, (153),2h,animation
Among Neighbors,9.7, (51),1h 40m,animation
"Maya, donne-moi un titre",6.4, (64),1h 1m,animation
SuperKlaus,4.3, (208),1h 28m,animation
Kvitebjørn,5.9, (79),1h 25m,animation
Quo Vadis,6.4, (517),1h 30m,animation
Captain Avispa,5.7, (181),1h 36m,animation
The Worlds Divide,7.9, (40),2h,animation
The Storm,6.1, (146),1h 42m,animation
Bocchi the Rock! Recap Part 1,7.5, (200),1h 30m,animation
Si Juki the Movie: Harta Pulau Monyet,6.1, (134),1h 47m,animation
"Silex and the City, le film",4.9, (56),1h 17m,animation
TWST: Things We Said Today,7.0, (68),1h 26m,animation
Woolina and the No Birds,8.2, (52),1h 20m,animation
Dikkie Dik en de Verdwenen Knuffel,7.2, (133),1h 2m,animation
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1, (41),1h 30m,animation
Uma & Haggen: Mitos,7.4, (57),1h 34m,animation
Trapezium,6.2, (168),1h 35m,animation
Code Geass: Rozé of the Recapture - Part 1,7.6, (44),1h 14m,animation
Nature Cat's Nature Movie Special Extraordinaire,7.3, (20),53m,animation
The Umbrella Fairy,5.7, (62),1h 35m,animation
Jon Vardar protiv Galaksijata,8.2, (77),1h 26m,animation
Ya Boy Kongming! Road to Summer Sonia,7.4, (43),1h 59m,animation
Steal the Naughty List,4.8, (128),1h 30m,animation
God with Three Eyes,5.7, (29),1h 52m,animation
Askepote,3.5, (87),1h 12m,animation
Rocky and Bullwinkle,8.6, (17),1h 40m,animation
Bocchi the Rock! Recap Part 2,7.4, (136),1h 17m,animation
PAPmusic - Animation for Fashion,1.0, (172),1h 25m,animation
A Few Moments of Cheers,7.2, (56),1h 8m,animation
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.6, (38),1h 11m,animation
Slocum et moi,7.2, (81),1h 15m,animation
Fuuto PI: Portrait of Kamen Rider Skull,7.3, (52),1h 22m,animation
The Greatest Surf Movie in the Universe,4.7, (9),1h 21m,animation
"Robotia, the Movie",7.3, (33),1h 26m,animation
