Movie_name,Rating,Votes,Duration,genre
The Order,6.8, (50K),1h 56m,crime
Carry-On,6.5, (173K),1h 59m,crime
The Beekeeper,6.3, (163K),1h 45m,crime
Longlegs,6.6, (194K),1h 41m,crime
Wolfs,6.5, (89K),1h 48m,crime
Juror #2,7.0, (105K),1h 54m,crime
Trap,5.8, (146K),1h 45m,crime
Rebel Ridge,6.8, (91K),2h 11m,crime
Freaky Tales,6.2, (7.6K),1h 47m,crime
The Unholy Trinity,6.0, (569),1h 35m,crime
MaXXXine,6.2, (74K),1h 43m,crime
Despicable Me 4,6.2, (69K),1h 34m,crime
The Thicket,5.8, (3.7K),1h 48m,crime
Bad Boys: Ride or Die,6.5, (103K),1h 55m,crime
The Girl with the Needle,7.5, (15K),2h 3m,crime
Love Lies Bleeding,6.6, (59K),1h 44m,crime
The Seed of the Sacred Fig,7.6, (16K),2h 47m,crime
The Crow,4.7, (37K),1h 51m,crime
Maharaja,8.4, (71K),2h 21m,crime
Absolution,5.2, (9.1K),1h 52m,crime
Monkey Man,6.8, (94K),2h 1m,crime
The Instigators,6.2, (39K),1h 41m,crime
Lucky Baskhar,8.0, (35K),2h 28m,crime
Old Guy,5.2, (3.2K),1h 34m,crime
Emilia Pérez,5.4, (91K),2h 12m,crime
Lift,5.5, (50K),1h 47m,crime
Sleeping Dogs,6.2, (22K),1h 50m,crime
Beverly Hills Cop: Axel F,6.4, (83K),1h 58m,crime
Greedy People,6.2, (13K),1h 52m,crime
Riff Raff,5.6, (4.2K),1h 43m,crime
Inside,6.8, (347),1h 44m,crime
Pushpa: The Rule - Part 2,6.1, (59K),3h 21m,crime
Dead Mail,6.0, (2.1K),1h 46m,crime
Brothers,5.4, (14K),1h 29m,crime
Marco,6.7, (23K),2h 25m,crime
Trigger Warning,4.6, (20K),1h 46m,crime
The Silent Hour,6.1, (8.4K),1h 39m,crime
Guns & Moses,7.9, (99),1h 34m,crime
First Shift,4.4, (2.1K),1h 29m,crime
Ghost Killer,6.8, (89),1h 45m,crime
The Shadow Strays,6.5, (9.7K),2h 24m,crime
Green Bones,7.1, (456),1h 36m,crime
Killer Heat,5.6, (14K),1h 35m,crime
Santosh,7.1, (2.5K),2h 8m,crime
Boneyard,4.1, (5.2K),1h 36m,crime
Force of Nature: The Dry 2,5.8, (7.5K),2h,crime
King Ivory,7.1, (78),2h 10m,crime
Lost on a Mountain in Maine,6.1, (1.6K),1h 38m,crime
Twilight of the Warriors: Walled In,6.9, (10K),2h 6m,crime
Blood Star,6.3, (6.2K),1h 37m,crime
Baby John,5.1, (18K),2h 39m,crime
Barron's Cove,6.1, (187),1h 56m,crime
Sector 36,7.1, (26K),2h 3m,crime
Misericordia,6.8, (2.7K),1h 44m,crime
Saripodhaa Sanivaaram,7.0, (10K),2h 46m,crime
The Quiet Ones,6.1, (1.1K),1h 50m,crime
The Menendez Brothers,7.0, (9.8K),1h 59m,crime
Beating Hearts,7.0, (6.1K),2h 46m,crime
Stand Your Ground,4.6, (355),1h 39m,crime
Damaged,4.7, (7.6K),1h 37m,crime
Blackwater Lane,4.6, (2.3K),1h 48m,crime
Singham Again,4.7, (75K),2h 24m,crime
Lake George,6.5, (1.6K),1h 58m,crime
Do Patti,6.4, (69K),2h 6m,crime
Badland Hunters,5.9, (13K),1h 47m,crime
Amongst the Wolves,5.2, (312),1h 42m,crime
Code 8: Part II,5.7, (16K),1h 40m,crime
Armor,3.6, (4.6K),1h 29m,crime
Officer Black Belt,6.9, (8.8K),1h 48m,crime
Revolver,5.4, (928),1h 54m,crime
My Fault,4.2, (7.2K),2h,crime
Duchess,4.6, (1.6K),1h 54m,crime
The Thundermans Return,5.0, (1.9K),1h 10m,crime
The Pee Pee Poo Poo Man,8.2, (32),1h 19m,crime
Anweshippin Kandethum,7.4, (11K),2h 22m,crime
Belle,5.3, (143),1h 40m,crime
Matka,4.7, (608),2h 36m,crime
Le Mohican,6.8, (258),1h 27m,crime
