Movie_name,Rating,Votes,Duration,genre
Nosferatu,7.2, (213K),2h 12m,horror
Heretic,7.0, (165K),1h 51m,horror
The Substance,7.2, (321K),2h 21m,horror
Please Don't Feed the Children,4.9, (425),1h 34m,horror
Presence,6.1, (30K),1h 24m,horror
Speak No Evil,6.8, (111K),1h 50m,horror
Alien: Romulus,7.1, (255K),1h 59m,horror
Longlegs,6.6, (194K),1h 41m,horror
Kinds of Kindness,6.5, (61K),2h 44m,horror
Beetlejuice Beetlejuice,6.6, (155K),1h 45m,horror
Salem's Lot,5.6, (36K),1h 54m,horror
Smile 2,6.7, (115K),2h 7m,horror
Trap,5.8, (146K),1h 45m,horror
I Don't Understand You,5.5, (788),1h 37m,horror
Abigail,6.5, (101K),1h 49m,horror
MaXXXine,6.2, (74K),1h 43m,horror
A Quiet Place: Day One,6.3, (156K),1h 39m,horror
The Shrouds,5.7, (4K),2h,horror
Oddity,6.7, (47K),1h 38m,horror
Terrifier 3,6.3, (52K),2h 5m,horror
The Strangers: Chapter 1,4.6, (23K),1h 31m,horror
Don't Move,5.8, (41K),1h 32m,horror
The Crow,4.7, (37K),1h 51m,horror
Witchboard,7.5, (114),1h 52m,horror
Cuckoo,5.7, (29K),1h 42m,horror
The Rule of Jenny Pen,6.2, (6.2K),1h 44m,horror
Immaculate,5.8, (54K),1h 29m,horror
The Watchers,5.7, (59K),1h 42m,horror
Time Cut,5.0, (20K),1h 31m,horror
MadS,6.4, (9K),1h 29m,horror
The Damned,5.7, (5.7K),1h 29m,horror
1978,5.1, (615),1h 16m,horror
Survive,4.6, (3.2K),1h 30m,horror
Monster Island,6.0, (100),1h 23m,horror
Nightbitch,5.5, (21K),1h 39m,horror
Saint Clare,7.0, (120),1h 32m,horror
Arcadian,5.5, (25K),1h 32m,horror
Apartment 7A,5.9, (17K),1h 47m,horror
Night Swim,4.7, (28K),1h 38m,horror
Never Let Go,5.4, (16K),1h 41m,horror
Strange Harvest,6.7, (79),1h 34m,horror
Y2K,4.8, (16K),1h 31m,horror
Exhuma,6.9, (25K),2h 14m,horror
The First Omen,6.5, (66K),1h 59m,horror
Apocalypse Z: The Beginning of the End,6.1, (21K),1h 57m,horror
Outbreak,4.4, (1.2K),1h 28m,horror
Azrael,5.4, (12K),1h 26m,horror
The Deliverance,5.1, (23K),1h 52m,horror
Dead Mail,6.0, (2.1K),1h 46m,horror
Get Away,5.3, (7.7K),1h 26m,horror
Your Monster,6.4, (6.4K),1h 43m,horror
Under Paris,5.2, (37K),1h 44m,horror
Out Come the Wolves,4.7, (1.7K),1h 26m,horror
In a Violent Nature,5.6, (28K),1h 34m,horror
Tarot,4.8, (33K),1h 32m,horror
Stree 2: Sarkate Ka Aatank,6.9, (43K),2h 27m,horror
The Devil's Bath,6.6, (6.8K),2h 1m,horror
Frewaka,6.1, (1.5K),1h 43m,horror
Beezel,4.9, (1.6K),1h 21m,horror
Hellboy: The Crooked Man,4.5, (15K),1h 39m,horror
A Desert,5.7, (412),1h 43m,horror
Chime,6.4, (2.7K),45m,horror
Sting,5.7, (17K),1h 31m,horror
Lisa Frankenstein,6.1, (29K),1h 41m,horror
Ghost Killer,6.8, (89),1h 45m,horror
Die Alone,5.8, (4K),1h 30m,horror
Rumours,4.9, (5.2K),1h 44m,horror
The Beldham,7.0, (48),1h 25m,horror
The Wailing,6.1, (1.7K),1h 47m,horror
The Platform 2,4.9, (41K),1h 39m,horror
Succubus,4.6, (1.4K),1h 43m,horror
Lowlifes,6.2, (6.8K),1h 30m,horror
The Beast Within,4.3, (5.3K),1h 37m,horror
Grafted,5.6, (2.6K),1h 36m,horror
A Sacrifice,5.0, (5.8K),1h 34m,horror
The Master and Margarita,7.2, (5K),2h 36m,horror
Swap,2.9, (375),1h 26m,horror
Blood Star,6.3, (6.2K),1h 37m,horror
Werewolves,4.4, (7.7K),1h 33m,horror
