Movie_name,Rating,Votes,Duration,genre
Anora,7.5, (207K),2h 19m,romance
Wicked,7.4, (171K),2h 40m,romance
Babygirl,5.8, (64K),1h 54m,romance
F*** Marry Kill,5.3, (3.2K),1h 37m,romance
The Fall Guy,6.8, (228K),2h 6m,romance
The Count of Monte-Cristo,7.6, (38K),2h 58m,romance
We Live in Time,7.0, (57K),1h 48m,romance
Role Play,5.5, (19K),1h 40m,romance
It Ends with Us,6.3, (89K),2h 10m,romance
The Idea of You,6.3, (75K),1h 55m,romance
Challengers,7.0, (160K),2h 11m,romance
My Old Ass,6.9, (42K),1h 29m,romance
On Swift Horses,6.0, (2.5K),1h 59m,romance
Queer,6.4, (24K),2h 17m,romance
Fly Me to the Moon,6.6, (52K),2h 12m,romance
Love Lies Bleeding,6.6, (59K),1h 44m,romance
The Crow,4.7, (37K),1h 51m,romance
A Nice Indian Boy,7.4, (2.4K),1h 36m,romance
A Family Affair,5.4, (38K),1h 51m,romance
Young Hearts,7.9, (5.8K),1h 39m,romance
Ask Me What You Want,3.9, (1.3K),1h 54m,romance
All We Imagine as Light,7.1, (11K),1h 58m,romance
Love Me,5.1, (3K),1h 31m,romance
Spaceman,5.7, (44K),1h 47m,romance
Bonjour Tristesse,5.9, (476),1h 50m,romance
Upgraded,6.1, (30K),1h 44m,romance
Jane Austen Wrecked My Life,6.4, (859),1h 38m,romance
Daniela Forever,5.9, (334),1h 53m,romance
Mon Potongo,5.0, (636),2h 29m,romance
Winter Spring Summer or Fall,6.0, (3.1K),1h 37m,romance
Culpa Tuya,5.2, (14K),1h 58m,romance
Young Woman and the Sea,7.5, (18K),2h 9m,romance
Turtles All the Way Down,6.6, (7.6K),1h 51m,romance
Vulgar,5.4, (198),1h 43m,romance
Your Monster,6.4, (6.4K),1h 43m,romance
Lonely Planet,5.7, (12K),1h 34m,romance
Loveable,7.7, (2.7K),1h 41m,romance
Before We Forget,7.5, (142),1h 48m,romance
Lilies Not for Me,7.0, (703),1h 39m,romance
Lisa Frankenstein,6.1, (29K),1h 41m,romance
Dreams (Sex Love),7.6, (814),1h 50m,romance
Die Alone,5.8, (4K),1h 30m,romance
Girls Will Be Girls,7.1, (2.8K),1h 58m,romance
Love Across Time,7.1, (805),1h,romance
Emmanuelle,4.1, (1.9K),1h 47m,romance
Killer Heat,5.6, (14K),1h 35m,romance
Mother of the Bride,4.8, (17K),1h 28m,romance
Turn Me On,5.6, (743),1h 39m,romance
Teri Baaton Mein Aisa Uljha Jiya,6.2, (54K),2h 21m,romance
Grafted,5.6, (2.6K),1h 36m,romance
La Cocina,7.1, (3.7K),2h 19m,romance
Find Me Falling,6.3, (13K),1h 33m,romance
The Master and Margarita,7.2, (5K),2h 36m,romance
Our Little Secret,5.7, (24K),1h 41m,romance
Swap,2.9, (375),1h 26m,romance
The Tearsmith,5.2, (13K),1h 43m,romance
Dan Da Dan: First Encounter,8.2, (3K),1h 23m,romance
Sidelined: The QB and Me,5.8, (4.2K),1h 39m,romance
Touch,7.4, (5.9K),2h 1m,romance
The Greatest Hits,6.2, (7.7K),1h 34m,romance
Premalu,7.8, (20K),2h 36m,romance
My Favourite Cake,7.4, (7.8K),1h 37m,romance
Lick,6.1, (1K),1h 15m,romance
High Tide,6.5, (767),1h 41m,romance
Irish Wish,5.2, (22K),1h 33m,romance
Girl Haunts Boy,6.3, (3.4K),1h 40m,romance
Intoxicated by Love,8.5, (14K),1h 58m,romance
Private Tutor,4.8, (233),1h 5m,romance
The Family Star,5.4, (5.6K),2h 39m,romance
Beating Hearts,7.0, (6.1K),2h 46m,romance
Went Up the Hill,6.6, (88),1h 40m,romance
Through My Window: Looking at You,5.5, (5.5K),1h 45m,romance
Love,7.3, (550),1h 59m,romance
The Astronaut Lovers,7.1, (966),1h 56m,romance
Sex Love Venice,4.4, (369),1h 42m,romance
Wanted: Girlfriend,4.2, (238),49m,romance
Three Friends,6.6, (856),1h 57m,romance
The Merry Gentlemen,4.8, (10K),1h 27m,romance
White Snake: Afloat,6.9, (583),2h 13m,romance
Drawing Closer,7.6, (2.8K),1h 58m,romance
Someone Like You,5.9, (2.3K),1h 58m,romance
Pedro Páramo,6.3, (3.1K),2h 10m,romance
Young Werther,5.5, (289),1h 41m,romance
Sex,6.6, (1.5K),1h 58m,romance
Love in the Big City,7.4, (1.7K),1h 58m,romance
Beautiful Wedding,4.1, (4.4K),1h 40m,romance
Uranus 2324,6.4, (4.9K),2h 10m,romance
Marmalade,6.3, (3.8K),1h 39m,romance
Eks,4.5, (211),2h 1m,romance
Given 3: To the Sea,7.5, (147),1h 20m,romance
Mor Chhainha Bhuinya 2,7.4, (128),2h 40m,romance
Addition,8.3, (32),1h 31m,romance
A True Gentleman,4.5, (2.3K),1h 50m,romance
Grand Tour,6.5, (2.2K),2h 9m,romance
Sunlight,7.7, (33),1h 36m,romance
Super Happy Forever,6.8, (249),1h 34m,romance
Take My Hand,6.3, (344),1h 42m,romance
Ajosepo,8.9, (69),2h 14m,romance
Hot Frosty,5.3, (15K),1h 32m,romance
Haunted Heart,4.8, (520),2h 8m,romance
This Is Me... Now,4.1, (7.2K),1h 5m,romance
Detective Conan: The Million-Dollar Pentagram,6.7, (1.6K),1h 51m,romance
Another End,6.4, (844),1h 59m,romance
How to Date Billy Walsh,5.2, (4K),1h 38m,romance
Silent Love,6.4, (437),1h 56m,romance
Qalb,6.5, (2.4K),2h 27m,romance
Perfect Endings,5.5, (228),1h 40m,romance
Romance on the Ranch,6.8, (412),1h 28m,romance
Siddharth Roy,6.3, (2.9K),2h 28m,romance
Black Tea,5.2, (609),1h 50m,romance
Boot Camp,5.8, (1.2K),1h 34m,romance
Rasavathi,6.4, (591),2h 28m,romance
My Name Is Loh Kiwan,6.7, (4.5K),2h 11m,romance
The Best Christmas Pageant Ever,6.8, (6.3K),1h 39m,romance
Aichaku,6.9, (395),1h 58m,romance
Art of Love,4.6, (2.5K),1h 39m,romance
Given the Movie: Hiiragi Mix,7.6, (237),1h 10m,romance
From Contract Lover to the Billionaire's Bride,6.9, (555),1h 24m,romance
Timestalker,5.5, (3.1K),1h 29m,romance
Why Do You?,5.3, (477),1h 43m,romance
Amar Singh Chamkila,7.8, (17K),2h 25m,romance
Hear Me: Our Summer,7.5, (946),1h 49m,romance
The Best Friend,6.4, (141),1h 36m,romance
The Air He Breathes,6.5, (433),1h 46m,romance
The Dead Thing,4.7, (1K),1h 34m,romance
Two to One,6.1, (851),1h 56m,romance
Wallbanger,5.6, (735),1h 58m,romance
Love at 39 Degrees,5.6, (1.5K),1h 55m,romance
Do Aur Do Pyaar,6.4, (12K),2h 20m,romance
Bau: Artist at War,7.2, (65),2h 10m,romance
Bachhala Malli,8.2, (4K),2h 20m,romance
Krista,5.5, (61),58m,romance
Mascarpone: The Rainbow Cake,6.0, (543),1h 45m,romance
Dandelion,5.3, (419),1h 53m,romance
The Groomsmen Last Dance,6.9, (379),1h 24m,romance
The Glory of Life,6.6, (459),1h 38m,romance
Blue Sun Palace,6.6, (223),1h 56m,romance
Pantaskah Aku Berhijab,7.9, (83),1h 54m,romance
City Hunter,6.3, (5.8K),1h 42m,romance
Stag,4.6, (477),1h 27m,romance
Players,5.7, (12K),1h 45m,romance
Ashes,4.3, (2.7K),1h 40m,romance
The Time of Fever,8.0, (746),1h 41m,romance
You Are the Apple of My Eye,6.9, (3.7K),1h 41m,romance
Seven Seas Seven Hills,8.6, (98),1h 30m,romance
Chainsaws Were Singing,7.2, (387),1h 57m,romance
Cinderella's Curse,3.4, (1.4K),1h 22m,romance
Chanchal Haseena,7.3, (39),1h 38m,romance
Bad Newz,4.7, (26K),2h 22m,romance
Phir Aayi Hasseen Dillruba,5.8, (7K),2h 12m,romance
Lesbian Space Princess,7.1, (192),1h 27m,romance
Plan B,6.0, (1.4K),1h 30m,romance
The Glassworker,7.2, (1.9K),1h 38m,romance
My Ex's Wedding,8.8, (56),1h 35m,romance
Reversi,7.0, (303),2h 15m,romance
Los pequeños amores,6.3, (388),1h 35m,romance
Futra Days,4.2, (161),1h 39m,romance
Good Bad Things,5.8, (241),1h 36m,romance
Angithee 3,8.1, (64),1h 39m,romance
Breakup Season,6.2, (609),1h 42m,romance
Ek Anjaan Rishtey Ka Guilt 3,7.9, (71),1h 44m,romance
Else,5.9, (277),1h 42m,romance
Badaa Saat Fi Yawman Ma,5.8, (334),1h 40m,romance
Chosen Family,4.7, (520),1h 28m,romance
Joli joli,5.5, (143),1h 56m,romance
Ancika,6.8, (820),1h 40m,romance
Dilan 1983,6.3, (246),1h 56m,romance
Him,7.4, (31),1h 20m,romance
Queens of Drama,6.2, (220),1h 54m,romance
This Time Next Year,5.6, (2.4K),1h 56m,romance
5lbs of Pressure,5.2, (1.7K),1h 51m,romance
Christmas in the Spotlight,5.7, (683),1h 27m,romance
The Holiday Club,6.6, (393),1h 28m,romance
Kang Mak,6.4, (897),2h 2m,romance
The Swedish Torpedo,6.0, (276),2h,romance
My Boyfriend Is a Sex Worker,5.4, (17),50m,romance
Love Li,6.4, (13K),2h 48m,romance
Paper Flowers,8.5, (37),1h 40m,romance
Throuple,6.5, (74),1h 32m,romance
Umjolo: Day Ones,4.2, (167),1h 26m,romance
Silent Sparks,6.1, (62),1h 18m,romance
Marriage Mansion,8.3, (26),Not Rated,romance
Mafia Temptation,8.2, (7),1h 22m,romance
Passport to Love,6.2, (428),1h 28m,romance
Paalum Pazhavum,4.9, (191),2h 27m,romance
3391 Kilometres,4.3, (1.2K),1h 50m,romance
Here Now,4.9, (483),1h 58m,romance
Murder Mubarak,5.8, (51K),2h 20m,romance
First Taste,4.2, (320),1h 37m,romance
Música,6.4, (5.1K),1h 31m,romance
Ipar Adalah Maut,7.0, (1.3K),2h 11m,romance
Blame the Game,5.4, (5.3K),1h 32m,romance
Cinderella's Revenge,3.7, (1.2K),1h 25m,romance
Freedom,5.9, (1.5K),1h 50m,romance
Tillu Square,6.6, (3.5K),2h 17m,romance
18×2 Beyond Youthful Days,7.3, (2.1K),2h 3m,romance
0000 Kilometre,2.8, (278),1h 50m,romance
He Loves Me Not,6.8, (55),1h 37m,romance
The Southern Chronicles,8.7, (2.9K),2h,romance
Love Switch,6.1, (278),1h 29m,romance
Rose Rosy Te Gulab,5.8, (317),2h 15m,romance
Still Fabulous,4.9, (878),1h 32m,romance
Auron Mein Kahan Dum Tha,6.4, (41K),2h 30m,romance
Darkest Miriam,5.8, (327),1h 27m,romance
Her Seyin Basi Merkür,3.3, (468),1h 45m,romance
Undergrads,5.1, (65),1h 6m,romance
Savi,6.1, (35K),2h 6m,romance
Love Reddy,8.0, (2.3K),2h 18m,romance
Jatt & Juliet 3,5.4, (1.8K),2h 15m,romance
Guilty Pleasure,4.7, (176),1h 59m,romance
Yuva,5.7, (851),2h 33m,romance
Chijin no ai,8.1, (8),1h 45m,romance
Gelin Takimi,4.0, (6.2K),1h 49m,romance
Layla,6.1, (469),1h 40m,romance
Miss You,6.1, (3.2K),2h 8m,romance
We're All Gonna Die,8.2, (97),1h 50m,romance
My Future You,7.4, (298),1h 49m,romance
"Love, Divided",6.0, (4.8K),1h 38m,romance
Love Story,5.4, (443),2h 5m,romance
"Hello, Love, Again",6.7, (942),2h 2m,romance
The Holiday Exchange,5.6, (425),1h 30m,romance
Mr. Manhattan,6.8, (478),1h 50m,romance
Five Blind Dates,5.1, (2K),1h 23m,romance
Mai,6.8, (1.6K),2h 11m,romance
Her Story,7.6, (2K),2h 3m,romance
Honeymoonish,5.3, (1.6K),1h 40m,romance
Mr. Bachchan,3.6, (5.3K),2h 30m,romance
When in Rome,6.1, (800),1h 38m,romance
Miracle Mile,7.6, (37),1h 22m,romance
Trisha on the Rocks,5.2, (3K),2h 52m,romance
Romeo,6.1, (1.3K),2h 30m,romance
Wild Wild Punjab,6.2, (16K),1h 49m,romance
Previously Saved Version,5.5, (464),1h 57m,romance
Season of Love,5.0, (420),2h 6m,romance
Umjolo: The Gone Girl,4.4, (288),1h 32m,romance
Christmas at Plumhill Manor,6.1, (506),1h 27m,romance
Ibbani Tabbida Ileyali,7.4, (874),2h 40m,romance
The Lifeguards,3.7, (147),1h 47m,romance
Raseeli Raatein,6.7, (12),1h 31m,romance
Maybe Forever,6.0, (95),1h 11m,romance
Believe in Christmas,6.1, (861),1h 30m,romance
Un/Happy for You,5.7, (416),1h 50m,romance
Samana Sunrise,5.0, (250),1h 40m,romance
Meet Me Next Christmas,5.7, (8.6K),1h 45m,romance
Varshangalkku Shesham,6.6, (4.2K),2h 46m,romance
Perfect Match,6.6, (355),1h 41m,romance
Bigayan,6.2, (46),43m,romance
The Groomsmen: First Look,6.1, (412),1h 22m,romance
Alaap,6.2, (133),2h 25m,romance
Lyubvi ne byvaet?,5.4, (167),1h 45m,romance
Gone Running,7.0, (4.4K),1h 45m,romance
Viva La Vida,7.5, (884),2h 10m,romance
A Circus Tale & a Love Song,5.9, (111),1h 54m,romance
Goyo,6.6, (2.3K),1h 46m,romance
X & Y,8.1, (17),1h 41m,romance
DeAr,5.1, (1.7K),2h 12m,romance
She Taught Love,5.3, (429),1h 42m,romance
Pure Love,7.1, (204),1h 49m,romance
Little Hearts,5.9, (2.6K),2h 16m,romance
Pasutri Gaje,6.0, (355),1h 49m,romance
Elevator,5.2, (185),1h 35m,romance
Marry Christmas,6.3, (67),1h 25m,romance
Shigatsu ni nareba kanojo wa,6.2, (465),1h 48m,romance
Enchanting Christmas,6.3, (366),1h 31m,romance
Roti Kapda Romance,5.8, (2.5K),2h 33m,romance
The Great Gujarati Matrimony,7.7, (95),2h 24m,romance
Happiness Is,3.8, (309),1h 36m,romance
Explosions in My Heart,6.6, (47),1h 45m,romance
"Love, Sitara",5.3, (309),1h 45m,romance
À toute allure,5.4, (232),1h 26m,romance
"LSD 2: Love, Sex Aur Dhokha 2",3.8, (2.8K),1h 59m,romance
Love Me If You Dare,4.3, (483),2h 8m,romance
Azzamine,7.0, (121),1h 44m,romance
"Walter, Grace & The Submarine",9.3, (8),1h 40m,romance
Amar Prem Ki Prem Kahani,4.5, (675),1h 57m,romance
Langue Étrangère,6.6, (579),1h 41m,romance
Stranded Pearl,5.7, (29),1h 30m,romance
Valley of the Shadow of Death,6.5, (78),1h 24m,romance
